"Source","Open External Documentation","Shift+F2","Editing Ant Buildfiles"
"Text Editing","Select Line Start","Shift+Home","Editing Text"
"Editing","Select Enclosing Element","Shift+Alt+Up","Editing Xtext Source"
"Run/Debug","Step Into Selection","Ctrl+F5","Debugging C/C++"
"Run/Debug","Debug JUnit Test","Shift+Alt+D T","Editing Xtend Source"
"Text Editing","Move Lines Down","Alt+Down","Editing Text"
"File","Close All","Shift+Ctrl+W","In Windows"
"Edit","Find Previous","Shift+Ctrl+K","Editing Text"
"Run/Debug","Next Page of Memory","Shift+Ctrl+.","In Table Memory Rendering"
"C/C++ Source","Open Element","Shift+Ctrl+T","In C/C++ Views"
"Navigate","Go to Previous Member","Shift+Ctrl+Up","Editing Java Source"
"Uncategorized","Insert left guillemet","Ctrl+<","Editing Xtend Source"
"Server","Debug","Ctrl+Alt+D","In Servers View"
"Edit","Paste","Ctrl+V","In Dialogs and Windows"
"Refactor - C++","Extract Local Variable - Refactoring ","Shift+Alt+L","C/C++ Editor"
"Text Editing","Toggle Overwrite","Insert","Embedded Xtext Editor context"
"Text Editing","Select Previous Word","Shift+Ctrl+Left","Embedded Xtext Editor context"
"Views","Show View (Synchronize)","Alt+F4","In Windows"
"Navigate","Forward History","Alt+Right","In Windows"
"Run/Debug","Go to Address","Ctrl+G","In Table Memory Rendering"
"Edit","Select Next C/C++ Element","Shift+Alt+Right","C/C++ Editor"
"Edit","Select Previous C/C++ Element","Shift+Alt+Left","C/C++ Editor"
"Views","Show View (History)","Shift+Alt+Q Z","In Windows"
"C/C++ Source","Toggle Mark Occurrences","Shift+Alt+O","C/C++ Editor"
"Navigate","Open Attached Javadoc","Shift+F2","In Windows"
"Run/Debug","Toggle Breakpoint","Shift+Ctrl+B","In Windows"
"Views","Show View","Shift+Alt+Q Q","In Windows"
"Run/Debug","EOF","Ctrl+D","In I/O Console"
"View","Zoom In","Ctrl+=","In Windows"
"File","Print","Ctrl+P","In Windows"
"Search","Open Search Dialog","Ctrl+H","In Windows"
"Editing","Toggle Comment","Ctrl+7","Editing Xtext Source"
"Database Tools","Execute Selected Text As One Statement","Alt+C","Editing SQL"
"C/C++ Source","Sort Lines","Ctrl+Alt+S","C/C++ Editor"
"Text Editing","Insert Line Above Current Line","Shift+Ctrl+Enter","Embedded Xtext Editor context"
"Refactor - JavaScript","Inline","Shift+Alt+I","JavaScript View"
"Edit","Add Maven Dependency","Shift+Ctrl+D","Editing XML Source"
"Window","Show Key Assist","Shift+Ctrl+L","In Dialogs and Windows"
"C/C++ Source","Indent Line","Ctrl+I","C/C++ Editor"
"Navigate","Up","Alt+F12","In Windows"
"Navigate","Open Manifest","Shift+Ctrl+Alt+M","In Windows"
"Navigate","Go to Next Member","Shift+Ctrl+Down","Editing Java Source"
"Text Editing","Copy Lines","Ctrl+Alt+Down","Embedded Xtext Editor context"
"Navigate","Collapse All","Shift+Ctrl+Numpad_Divide","In Windows"
"Text Editing","Delete Next Word","Ctrl+Delete","Embedded Xtext Editor context"
"Navigate","Next Tab","Alt+2","In Windows"
"Source","Add Import","Shift+Ctrl+M","Editing JavaScript Source"
"Source","Quick Assist - Assign to var","Ctrl+2 F","Editing JavaScript Source"
"Text Editing","Join Lines","Ctrl+Alt+J","Editing Text"
"Refactor - C++","Extract Constant - Refactoring ","Alt+C","C/C++ Editor"
"Run/Debug","Run Java Applet","Shift+Alt+X A","In Windows"
"Run/Debug","Run Maven Build","Shift+Alt+X M","In Windows"
"Navigate","Show In...","Shift+Alt+W","In Windows"
"Source","Organize Imports","Shift+Ctrl+O","JavaScript View"
"Navigate","Go to Next Member","Shift+Ctrl+Down","Editing JavaScript Source"
"Navigate","Open Type","Shift+Ctrl+T","Editing JavaScript Source"
"Run/Debug","Display","Shift+Ctrl+D","In Dialogs and Windows"
"Git","Copy Path to Clipboard","Ctrl+C","In Git Repositories View"
"Text Editing","Scroll Line Down","Ctrl+Down","Embedded Xtext Editor context"
"Navigate","Open Type in Hierarchy","Shift+Ctrl+H","JavaScript View"
"SQL Results View","Remove All Visible Results","Shift+Delete","In Windows"
"Edit","Toggle Insert Mode","Shift+Ctrl+Insert","Embedded Xtext Editor context"
"Edit","Incremental Find","Ctrl+J","Embedded Xtext Editor context"
"Navigate","Open Include Browser","Ctrl+Alt+I","In C/C++ Views"
"Editing","Toggle Comment","Shift+Ctrl+C","Editing Xtext Source"
"Refactor - Java","Change Method Signature","Shift+Alt+C","In Windows"
"Navigate","Find References","Shift+Ctrl+G","Editing Xtext Source"
"Uncategorized","Insert right guillemet","Ctrl+>","Editing Xtend Source"
"Views","Show View (Error Log)","Shift+Alt+Q L","In Windows"
"Edit","Restore Last Selection","Shift+Alt+Down","Editing in Structured Text Editors"
"Source","Toggle Mark Occurrences","Shift+Alt+O","Editing Java Source"
"Source","Add JSDoc Comment","Shift+Alt+J","JavaScript View"
"Source","Toggle Comment","Shift+Ctrl+C","Editing JavaScript Source"
"Navigate","Open Type in Hierarchy","Shift+Ctrl+H","C/C++ Editor"
"Android Refactorings","Extract Android String","Shift+Alt+A S","In Windows"
"File","Save All","Shift+Ctrl+S","In Windows"
"Views","Show View (Cheat Sheets)","Shift+Alt+Q H","In Windows"
"Navigate","Open Type Hierarchy","F4","JavaScript View"
"View","Zoom Out","Ctrl+-","In Windows"
"Uncategorized","Quick Outline","Ctrl+O","Editing Xtext Source"
"Uncategorized","Add Artifact to Target Platform","Shift+Ctrl+Alt+A","In Windows"
"Text Editing","Insert Line Below Current Line","Shift+Enter","Editing Text"
"Window","Show Ruler Context Menu","Ctrl+F10","Editing Text"
"Navigate","Quick Hierarchy","Ctrl+T","Editing Java Source"
"C/C++ Source","Go to Previous Member","Shift+Ctrl+Up","C/C++ Editor"
"Edit","Toggle Comment","Shift+Ctrl+C","Editing in Structured Text Editors"
"Refactor - Java","Show Refactor Quick Menu","Shift+Alt+T","In Windows"
"Edit","Cut","Shift+Delete","In Dialogs and Windows"
"Edit","Select Next Element","Shift+Alt+Right","Editing Java Source"
"Source","Remove Occurrence Annotations","Shift+Alt+U","Editing Java Source"
"Source","Toggle Comment","Shift+Ctrl+C","Editing Java Source"
"Text Editing","Previous Word","Ctrl+Left","Embedded Xtext Editor context"
"Run/Debug","All Instances","Shift+Ctrl+N","In Windows"
"Editing","Go to Matching Bracket","Shift+Ctrl+P","Editing Xtext Source"
"Navigate","Go to Line","Ctrl+L","Editing Text"
"Text Editing","To Lower Case","Shift+Ctrl+Y","Embedded Xtext Editor context"
"Source","Add Javadoc Comment","Shift+Alt+J","In Windows"
"Source","Surround With Quick Menu","Shift+Alt+Z","In Windows"
"Spy","Plug-in Menu Spy","Shift+Alt+F2","In Dialogs and Windows"
"Uncategorized","Insert left guillemet","<","Editing Xtend Source"
"Source","Add Block Comment","Shift+Ctrl+/","Editing Java Source"
"Edit","Content Assist","Ctrl+Space","In Dialogs and Windows"
"Run/Debug","Step Return","F7","Debugging"
"Editing","Toggle Comment","Ctrl+/","Editing Xtext Source"
"Text Editing","Delete Previous Word","Ctrl+Backspace","Editing Text"
"Edit","Select Enclosing Element","Shift+Alt+Up","Editing in Structured Text Editors"
"Source","Add Block Comment","Shift+Ctrl+/","Editing JavaScript Source"
"Edit","Remove Block Comment","Shift+Ctrl+\","Editing in Structured Text Editors"
"Source","Toggle Comment","Ctrl+7","Editing Properties Files"
"Run/Debug","Previous Page of Memory","Shift+Ctrl+,","In Table Memory Rendering"
"Run/Debug","Step Into","F5","Debugging"
"C/C++ Source","Go to Matching Bracket","Shift+Ctrl+P","C/C++ Editor"
"Makefile Source","Comment","Ctrl+/","Makefile Editor"
"Reverse Debugging Commands","Reverse Step Into","Shift+F5","Debugging C/C++"
"Navigate","Open Type in Hierarchy","Shift+Ctrl+H","In Windows"
"Run/Debug","Debug OSGi Framework","Shift+Alt+D O","In Windows"
"C/C++ Source","References","Shift+Ctrl+G","In C/C++ Views"
"Edit","Format Active Elements","Ctrl+I","Editing in Structured Text Editors"
"Refactor - C++","Rename - Refactoring ","Shift+Alt+R","C/C++ Editor"
"Text Editing","Delete Line","Ctrl+D","Editing Text"
"Text Editing","Delete Previous Word","Ctrl+Backspace","Embedded Xtext Editor context"
"Run/Debug","Debug JUnit Test","Shift+Alt+D T","In Windows"
"C/C++ Source","Add Include","Shift+Ctrl+N","C/C++ Editor"
"Run/Debug","Go to Program Counter","Home","In Disassembly"
"Edit","Incremental Find","Ctrl+J","Editing Text"
"Run/Debug","Run JUnit Test","Shift+Alt+X T","Editing Xtend Source"
"Run/Debug","Debug Eclipse Application","Shift+Alt+D E","In Windows"
"Edit","Open Selection","F3","Editing in Structured Text Editors"
"Navigate","Open Type in Hierarchy","Shift+Ctrl+H","In C/C++ Views"
"Source","Toggle Ant Mark Occurrences","Shift+Alt+O","Editing Ant Buildfiles"
"Edit","Quick Diff Toggle","Shift+Ctrl+Q","Editing Text"
"Window","Next Perspective","Ctrl+F8","In Windows"
"Run/Debug","Debug","F11","In Windows"
"Refactor - C++","Extract Function - Refactoring ","Shift+Alt+M","C/C++ Editor"
"Navigate","Open Type Hierarchy","F4","In C/C++ Views"
"Refactor - C++","Toggle Function - Refactoring ","Shift+Alt+T","C/C++ Editor"
"File","New","Ctrl+N","In Windows"
"Views","Show View (Search)","Shift+Alt+Q S","In Windows"
"Reverse Debugging Commands","Reverse Step Over","Shift+F6","Debugging C/C++"
"SQL Results View","Terminate Result","Ctrl+Break","In Windows"
"Edit","Matching Tag","Shift+Ctrl+>","Editing in Structured Text Editors"
"Run/Debug","New Rendering","Ctrl+N","In Memory View"
"Navigate","Go to Matching Bracket","Shift+Ctrl+P","Editing JavaScript Source"
"Uncategorized","Insert right guillemet",">","Editing Xtend Source"
"Text Editing","Collapse","Ctrl+Numpad_Subtract","Editing Text"
"Run/Debug","Use Step Filters","Shift+F5","In Windows"
"Source","Correct Indentation","Ctrl+I","Editing Java Source"
"Navigate","Open Structure","Ctrl+F3","Editing JavaScript Source"
"File","Close All","Shift+Ctrl+F4","In Windows"
"Text Editing","Duplicate Lines","Ctrl+Alt+Up","Editing Text"
"Window","Switch to Editor","Shift+Ctrl+E","In Windows"
"Text Editing","Select Line Start","Shift+Home","Embedded Xtext Editor context"
"Run/Debug","Debug JUnit Plug-in Test","Shift+Alt+D P","In Windows"
"Edit","Select All","Ctrl+A","In Dialogs and Windows"
"Window","Previous View","Shift+Ctrl+F7","In Windows"
"File","Close","Alt+Esc","In Windows"
"Text Editing","Join Lines","Ctrl+Alt+J","Embedded Xtext Editor context"
"Navigate","Go to Previous Member","Shift+Ctrl+Up","Editing JavaScript Source"
"Text Editing","Select Line End","Shift+End","Embedded Xtext Editor context"
"Editing","Select Previous Element","Shift+Alt+Left","Editing Xtext Source"
"Project","Rebuild Last Target","F9","In Windows"
"Source","Organize Imports","Shift+Ctrl+O","In Windows"
"Edit","Undo","Ctrl+Z","In Dialogs and Windows"
"Run/Debug","Force Return","Shift+Alt+F","In Windows"
"Views","Show View (Problems)","Shift+Alt+Q X","In Windows"
"Source","Toggle Comment","Ctrl+/","Editing Properties Files"
"Source","Toggle Comment","Shift+Ctrl+C","Editing Properties Files"
"Makefile Source","Uncomment","Ctrl+\","Makefile Editor"
"Edit","Cut","Ctrl+X","In Dialogs and Windows"
"C/C++ Source","Toggle Source/Header","Ctrl+Tab","C/C++ Editor"
"Refactor - Java","Rename - Refactoring ","Shift+Alt+R","In Windows"
"Edit","Find Next","Ctrl+K","Embedded Xtext Editor context"
"Edit","Paste","Shift+Insert","In Dialogs and Windows"
"File","Close","Ctrl+F4","In Windows"
"Server","Run","Ctrl+Alt+R","In Servers View"
"Editing","Select Next Element","Shift+Alt+Right","Editing Xtext Source"
"Source","Surround With Quick Menu","Shift+Alt+Z","JavaScript View"
"Edit","Next Sibling","Shift+Ctrl+Down","Editing in Structured Text Editors"
"Navigate","Open Declaration","F3","Editing Xtext Source"
"Text Editing","Reset Structure","Shift+Ctrl+Numpad_Multiply","Editing Text"
"Text Editing","Scroll Line Down","Ctrl+Down","Editing Text"
"Edit","Word Completion","Alt+/","Editing Text"
"C/C++ Source","Show Source Quick Menu","Shift+Alt+S","C/C++ Editor"
"Search","Declaration in Workspace","Ctrl+G","In Windows"
"Navigate","Open Type Hierarchy","F4","C/C++ Editor"
"Run/Debug","Run JUnit Test","Shift+Alt+X T","In Windows"
"Navigate","Open Declaration","F3","In Windows"
"Source","Indent Line","Ctrl+I","Editing JavaScript Source"
"Source","Toggle Mark Occurrences","Shift+Alt+O","Editing JavaScript Source"
"Source","Toggle Comment","Ctrl+/","Editing Java Source"
"Edit","Add Block Comment","Shift+Ctrl+/","Editing in Structured Text Editors"
"Uncategorized","Open Call Hierarchy","Ctrl+Alt+H","Editing Xtext Source"
"Navigate","Next","Ctrl+.","In Windows"
"Text Editing","Line Start","Home","Editing Text"
"Edit","Copy","Ctrl+C","In Dialogs and Windows"
"Run/Debug","Execute","Ctrl+U","In Windows"
"Run/Debug","Run Ant Build","Shift+Alt+X Q","In Windows"
"Navigate","Previous","Ctrl+,","In Windows"
"Text Editing","Scroll Line Up","Ctrl+Up","Embedded Xtext Editor context"
"Database Tools","Execute Selected Text","Alt+X","Editing SQL"
"Source","Format","Esc Ctrl+F","Editing JavaScript Source"
"Run/Debug","Debug on Server","Shift+Alt+D R","In Windows"
"Text Editing","Move Lines Down","Alt+Down","Embedded Xtext Editor context"
"Navigate","Quick Outline","Ctrl+O","Editing Java Source"
"Text Editing","Collapse All","Shift+Ctrl+Numpad_Divide","Editing Text"
"Navigate","Open External JSDoc","Shift+F2","JavaScript View"
"Source","Quick Assist - Assign to field","Ctrl+2 F","Editing Java Source"
"Navigate","Last Edit Location","Ctrl+Q","In Windows"
"Text Editing","To Upper Case","Shift+Ctrl+X","Editing Text"
"Git","Paste Repository Path or URI","Ctrl+V","In Git Repositories View"
"C/C++ Source","Explore Macro Expansion","Ctrl+=","C/C++ Editor"
"Navigate","Quick Outline","Ctrl+O","Editing JavaScript Source"
"Text Editing","Line End","End","Editing Text"
"Edit","Toggle Block Selection","Shift+Alt+A","Editing Text"
"Source","Add Import","Shift+Ctrl+M","Editing Java Source"
"Run/Debug","Debug Java Application","Alt+D J","Editing Xtend Source"
"Source","Quick Assist - Rename in file","Ctrl+2 R","Editing JavaScript Source"
"Navigate","Previous Tab","Alt+1","In Windows"
"Run/Debug","Close Rendering","Ctrl+W","In Memory View"
"Run/Debug","Run OSGi Framework","Shift+Alt+X O","In Windows"
"Text Editing","Duplicate Lines","Ctrl+Alt+Up","Embedded Xtext Editor context"
"Source","Quick Assist - Rename in file","Ctrl+2 R","Editing Java Source"
"Database Tools","Execute Current Text","Alt+S","Editing SQL"
"Navigate","Open Call Hierarchy","Ctrl+Alt+H","In C/C++ Views"
"Navigate","Quick Hierarchy","Ctrl+T","Editing JavaScript Source"
"Window","Quick Switch Editor","Ctrl+E","In Windows"
"Navigate","Expand All","Shift+Ctrl+Numpad_Multiply","In Windows"
"Views","Show View (Package Explorer)","Alt+F2","In Windows"
"Source","Remove Block Comment","Shift+Ctrl+\","Editing JavaScript Source"
"Navigate","Go Into","Alt+F11","In Windows"
"Editing","Format","Shift+Ctrl+F","Editing Xtext Source"
"Navigate","Quick Outline","Ctrl+O","PDE editor"
"Text Editing","Move Lines Up","Alt+Up","Editing Text"
"Edit","Select Next Element","Shift+Alt+Right","Editing JavaScript Source"
"C/C++ Source","Show outline","Ctrl+O","C/C++ Editor"
"Window","Show System Menu","Alt+-","In Windows"
"Run/Debug","Display","Shift+Ctrl+V","In Dialogs and Windows"
"Views","Show View (Type Hierarchy)","Shift+Alt+Q T","In Windows"
"Navigate","Open Structure","Ctrl+F3","Editing Java Source"
"C/C++ Source","Quick Type Hierarchy","Ctrl+T","C/C++ Editor"
"Run/Debug","Add Memory Block","Ctrl+Alt+M","In Memory View"
"Source","Show Source Quick Menu","Shift+Alt+S","In Windows"
"Views","Show View (Javadoc)","Shift+Alt+Q J","In Windows"
"Edit","Copy","Ctrl+Insert","In Dialogs and Windows"
"Run/Debug","Go to Address...","Ctrl+G","In Disassembly"
"Edit","Incremental Find Reverse","Shift+Ctrl+J","Editing Text"
"Edit","Find and Replace","Ctrl+F","In Windows"
"Edit","Restore Last C/C++ Selection","Shift+Alt+Down","C/C++ Editor"
"Navigate","Go to Line","Ctrl+L","Embedded Xtext Editor context"
"Edit","Select Enclosing Element","Shift+Alt+Up","Editing JavaScript Source"
"Text Editing","Select Next Word","Shift+Ctrl+Right","Embedded Xtext Editor context"
"File","Rename","F2","In Windows"
"Window","Activate Editor","Alt+F1","In Windows"
"Navigate","Previous Sub-Tab","Alt+PageUp","In Dialogs and Windows"
"C/C++ Source","Open Element","Shift+Ctrl+T","C/C++ Editor"
"Edit","Restore Last Selection","Shift+Alt+Down","Editing JavaScript Source"
"Navigate","Open Maven POM","Shift+Alt+P","In Windows"
"Uncategorized","Copy SHA-1","Ctrl+C","In Git Reflog View"
"Search","Find Text in Workspace","Ctrl+Alt+G","In Windows"
"Run/Debug","Terminate","Ctrl+F2","Debugging"
"C/C++ Source","Go to Next Member","Shift+Ctrl+Down","C/C++ Editor"
"Edit","Add Maven Plugin","Shift+Ctrl+P","Editing XML Source"
"C/C++ Source","Format","Shift+Ctrl+F","C/C++ Editor"
"Search","References in Workspace","Shift+Ctrl+G","In Windows"
"C/C++ Source","References","Shift+Ctrl+G","C/C++ Editor"
"Reverse Debugging Commands","Uncall","Shift+F7","Debugging C/C++"
"Editing","Restore Last Selection","Shift+Alt+Down","Editing Xtext Source"
"Text Editing","Insert Line Below Current Line","Shift+Enter","Embedded Xtext Editor context"
"Navigate","Quick Hierarchy","Ctrl+T","Editing Xtext Source"
"Git","Commit...","Ctrl+#","In Windows"
"Views","Show View (Declaration)","Shift+Alt+Q D","In Windows"
"Views","JavaScript Script Explorer","Shift+Alt+Q P","JavaScript View"
"Views","JavaScript Type Hierarchy","Shift+Alt+Q T","JavaScript View"
"Edit","Toggle Comment","Ctrl+/","Editing SQL"
"File","New menu","Shift+Alt+N","In Windows"
"Navigate","Show In Breadcrumb","Shift+Alt+B","Editor Breadcrumb Navigation"
"Run/Debug","Run on Server","Shift+Alt+X R","In Windows"
"Text Editing","To Upper Case","Shift+Ctrl+X","Embedded Xtext Editor context"
"Edit","Previous Sibling","Shift+Ctrl+Up","Editing in Structured Text Editors"
"Refactoring","Rename Element","Shift+Alt+R","Editing Xtext Source"
"Text Editing","Text Start","Ctrl+Home","Embedded Xtext Editor context"
"File","Refresh","F5","In Windows"
"C/C++ Source","Open Declaration","F3","C/C++ Editor"
"Refactor - JavaScript","Move - Refactoring ","Shift+Alt+V","JavaScript View"
"Server","Publish","Ctrl+Alt+P","In Servers View"
"Text Editing","Select Previous Word","Shift+Ctrl+Left","Editing Text"
"Run/Debug","Java Breakpoint Properties","Alt+Enter","In Breakpoints View"
"Window","Next View","Ctrl+F7","In Windows"
"Edit","Redo","Shift+Ctrl+Z","In Dialogs and Windows"
"SQL Results View","Remove Result","Ctrl+Delete","In Windows"
"Window","Next Editor","Ctrl+F6","In Windows"
"Edit","Select Enclosing C/C++ Element","Shift+Alt+Up","C/C++ Editor"
"Refactor - Java","Move - Refactoring ","Shift+Alt+V","In Windows"
"C/C++ Source","Remove Block Comment","Shift+Ctrl+\","C/C++ Editor"
"Navigate","Open Call Hierarchy","Ctrl+Alt+H","C/C++ Editor"
"Views","Documentation","Shift+Alt+Q J","JavaScript View"
"Navigate","Open Call Hierarchy","Ctrl+Alt+H","In Windows"
"Run/Debug","Run Eclipse Application","Shift+Alt+X E","In Windows"
"Navigate","Open Type","Shift+Ctrl+T","In Windows"
"Run/Debug","Run Java Application","Shift+Alt+X J","In Windows"
"Window","Quick Access","Ctrl+3","In Windows"
"Refactor - JavaScript","Extract Local Variable","Shift+Alt+L","JavaScript View"
"Run/Debug","Run to Line","Ctrl+R","Debugging"
"Text Editing","Show Tooltip Description","F2","Editing Text"
"Source","Quick Assist - Assign to local variable","Ctrl+2 L","Editing JavaScript Source"
"Run/Debug","Debug Java Applet","Shift+Alt+D A","In Windows"
"Window","Previous Perspective","Shift+Ctrl+F8","In Windows"
"Run/Debug","Step Into Selection","Ctrl+F5","Debugging"
"Edit","Toggle Block Selection","Shift+Alt+A","Embedded Xtext Editor context"
"Text Editing","Text End","Ctrl+End","Editing Text"
"Views","Show View (Variables)","Alt+F10","In Windows"
"Database Tools","Edit in SQL Query Builder...","Alt+Q","Editing SQL"
"Run/Debug","Toggle Memory Monitors Pane","Ctrl+T","In Memory View"
"Run/Debug","Inspect","Shift+Ctrl+I","In Dialogs and Windows"
"Run/Debug","Debug Ant Build","Shift+Alt+D Q","In Windows"
"Navigate","Show In Breadcrumb","Shift+Alt+B","Editing Java Source"
"Text Editing","Delete to End of Line","Shift+Ctrl+Delete","Embedded Xtext Editor context"
"Refactor - JavaScript","Rename - Refactoring ","Shift+Alt+R","JavaScript View"
"Text Editing","Text Start","Ctrl+Home","Editing Text"
"Edit","Context Information","Shift+Ctrl+Space","In Dialogs and Windows"
"Source","Format","Shift+Ctrl+F","Editing Ant Buildfiles"
"Uncategorized","Open Type in Hierarchy","F4","Editing Xtext Source"
"C/C++ Source","Open Declaration","F3","In Macro Expansion Hover"
"EMF Code Generation","Generate Code","Shift+Alt+G","In Windows"
"C/C++ Source","Comment/Uncomment","Ctrl+/","C/C++ Editor"
"Text Editing","Delete Next Word","Ctrl+Delete","Editing Text"
"C/C++ Source","Back","Alt+Left","In Macro Expansion Hover"
"Source","Quick Assist - Assign to local variable","Ctrl+2 L","Editing Java Source"
"Text Editing","Copy Lines","Ctrl+Alt+Down","Editing Text"
"Views","Show View (Console)","Alt+F5","In Windows"
"Server","Stop","Ctrl+Alt+S","In Servers View"
"Uncategorized","Organize Imports","Shift+Ctrl+O","Editing Xtext Source"
"Edit","Format","Shift+Ctrl+F","Editing in Structured Text Editors"
"Run/Debug","Run","Ctrl+F11","In Windows"
"Views","Show View (Progress)","Alt+F6","In Windows"
"C/C++ Source","Organize Includes","Shift+Ctrl+O","C/C++ Editor"
"Text Editing","Previous Word","Ctrl+Left","Editing Text"
"Search","Show Occurrences in File Quick Menu","Shift+Ctrl+U","In Windows"
"Edit","Delete","Delete","In Windows"
"Source","Show Source Quick Menu","Shift+Alt+S","JavaScript View"
"Views","Show View (Debug)","Alt+F9","In Windows"
"C/C++ Source","Add Block Comment","Shift+Ctrl+/","C/C++ Editor"
"Text Editing","Toggle Overwrite","Insert","Editing Text"
"Window","Show Contributing Plug-in","Shift+Alt+F3","In Dialogs and Windows"
"Makefile Source","Open declaration","F3","Makefile Editor"
"Search","Show Occurrences in File Quick Menu","Shift+Ctrl+U","JavaScript View"
"Source","Toggle Comment","Ctrl+7","Editing JavaScript Source"
"C/C++ Source","Explore Macro Expansion","Ctrl+#","C/C++ Editor"
"Text Editing","Move Lines Up","Alt+Up","Embedded Xtext Editor context"
"Project","Build All","Ctrl+B","In Windows"
"Project","Make Target Build","Shift+F9","In Windows"
"Text Editing","Expand","Ctrl+Numpad_Add","Editing Text"
"Run/Debug","Debug JUnit Plug-in Test","Shift+Alt+D P","Editing Xtend Source"
"Run/Debug","Run Java Application","Shift+Alt+X J","Editing Xtend Source"
"Window","Maximize Active View or Editor","Ctrl+M","In Windows"
"Source","Toggle Comment","Ctrl+7","Editing Java Source"
"Text Editing","To Lower Case","Shift+Ctrl+Y","Editing Text"
"Navigate","Open Type Hierarchy","F4","In Windows"
"Text Editing","Select Next Word","Shift+Ctrl+Right","Editing Text"
"Run/Debug","Debug Android Application","Shift+Alt+A D","In Windows"
"Text Editing","Scroll Line Up","Ctrl+Up","Editing Text"
"Source","Open Declaration","F3","Editing Ant Buildfiles"
"Edit","Quick Fix","Ctrl+1","In Dialogs and Windows"
"Source","Remove Occurrence Annotations","Shift+Alt+U","Editing JavaScript Source"
"Database Tools","Goto Matching Token","Shift+Ctrl+P","Editing SQL"
"Text Editing","Delete Line","Ctrl+D","Embedded Xtext Editor context"
"Text Editing","Line End","End","Embedded Xtext Editor context"
"Navigate","Backward History","Alt+Left","In Windows"
"C/C++ Source","Forward","Alt+Right","In Macro Expansion Hover"
"Edit","Select Enclosing Element","Shift+Alt+Up","Editing Java Source"
"C/C++ Source","Surround With Quick Menu","Shift+Alt+Z","C/C++ Editor"
